frozenset({'0'})	{('0',): [342, 1]}
frozenset({'4', '0', '2'})	{('4',): [290, 1], ('0',): [342, 2], ('2',): [20, 4], ('4', '0'): [113, 3], ('4', '2'): [5, 5], ('0', '2'): [9, 6], ('4', '0', '2'): [4, 7]}
frozenset({'1', '6', '4'})	{('1',): [66, 1], ('6',): [272, 2], ('4',): [290, 4], ('1', '6'): [9, 3], ('1', '4'): [17, 5], ('6', '4'): [83, 6], ('1', '6', '4'): [4, 7]}
frozenset({'1', '7', '4'})	{('1',): [66, 1], ('7',): [350, 2], ('4',): [290, 4], ('1', '7'): [29, 3], ('1', '4'): [17, 5], ('7', '4'): [114, 6], ('1', '7', '4'): [8, 7]}
frozenset({'4', '13', '10'})	{('4',): [290, 1], ('13',): [255, 2], ('10',): [319, 4], ('4', '13'): [77, 3], ('4', '10'): [96, 5], ('13', '10'): [78, 6], ('4', '13', '10'): [28, 7]}
frozenset({'4', '15', '10'})	{('4',): [290, 1], ('15',): [173, 2], ('10',): [319, 4], ('4', '15'): [55, 3], ('4', '10'): [96, 5], ('15', '10'): [62, 6], ('4', '15', '10'): [19, 7]}
frozenset({'4', '18', '10'})	{('4',): [290, 1], ('18',): [285, 2], ('10',): [319, 4], ('4', '18'): [98, 3], ('4', '10'): [96, 5], ('18', '10'): [110, 6], ('4', '18', '10'): [34, 7]}
frozenset({'4', '2', '10'})	{('4',): [290, 1], ('2',): [20, 2], ('10',): [319, 4], ('4', '2'): [5, 3], ('4', '10'): [96, 5], ('2', '10'): [5, 6], ('4', '2', '10'): [1, 7]}
frozenset({'12', '5', '4'})	{('12',): [277, 1], ('5',): [354, 2], ('4',): [290, 4], ('12', '5'): [103, 3], ('12', '4'): [89, 5], ('5', '4'): [115, 6], ('12', '5', '4'): [36, 7]}
frozenset({'12', '6', '4'})	{('12',): [277, 1], ('6',): [272, 2], ('4',): [290, 4], ('12', '6'): [73, 3], ('12', '4'): [89, 5], ('6', '4'): [83, 6], ('12', '6', '4'): [19, 7]}
frozenset({'12', '7', '4'})	{('12',): [277, 1], ('7',): [350, 2], ('4',): [290, 4], ('12', '7'): [98, 3], ('12', '4'): [89, 5], ('7', '4'): [114, 6], ('12', '7', '4'): [37, 7]}
frozenset({'4', '13', '15'})	{('4',): [290, 1], ('13',): [255, 2], ('15',): [173, 4], ('4', '13'): [77, 3], ('4', '15'): [55, 5], ('13', '15'): [50, 6], ('4', '13', '15'): [16, 7]}
frozenset({'4', '13', '18'})	{('4',): [290, 1], ('13',): [255, 2], ('18',): [285, 4], ('4', '13'): [77, 3], ('4', '18'): [98, 5], ('13', '18'): [87, 6], ('4', '13', '18'): [28, 7]}
frozenset({'4', '13', '2'})	{('4',): [290, 1], ('13',): [255, 2], ('2',): [20, 4], ('4', '13'): [77, 3], ('4', '2'): [5, 5], ('13', '2'): [7, 6], ('4', '13', '2'): [1, 7]}
frozenset({'4', '15', '18'})	{('4',): [290, 1], ('15',): [173, 2], ('18',): [285, 4], ('4', '15'): [55, 3], ('4', '18'): [98, 5], ('15', '18'): [51, 6], ('4', '15', '18'): [21, 7]}
frozenset({'4', '15', '2'})	{('4',): [290, 1], ('15',): [173, 2], ('2',): [20, 4], ('4', '15'): [55, 3], ('4', '2'): [5, 5], ('15', '2'): [3, 6], ('4', '15', '2'): [0, 7]}
frozenset({'7', '16', '4'})	{('7',): [350, 1], ('16',): [136, 2], ('4',): [290, 4], ('7', '16'): [60, 3], ('7', '4'): [114, 5], ('16', '4'): [45, 6], ('7', '16', '4'): [25, 7]}
frozenset({'4', '2', '18'})	{('4',): [290, 1], ('2',): [20, 2], ('18',): [285, 4], ('4', '2'): [5, 3], ('4', '18'): [98, 5], ('2', '18'): [8, 6], ('4', '2', '18'): [3, 7]}
frozenset({'19', '5', '4'})	{('19',): [286, 1], ('5',): [354, 2], ('4',): [290, 4], ('19', '5'): [107, 3], ('19', '4'): [85, 5], ('5', '4'): [115, 6], ('19', '5', '4'): [28, 7]}
frozenset({'19', '6', '4'})	{('19',): [286, 1], ('6',): [272, 2], ('4',): [290, 4], ('19', '6'): [84, 3], ('19', '4'): [85, 5], ('6', '4'): [83, 6], ('19', '6', '4'): [23, 7]}
frozenset({'19', '7', '4'})	{('19',): [286, 1], ('7',): [350, 2], ('4',): [290, 4], ('19', '7'): [107, 3], ('19', '4'): [85, 5], ('7', '4'): [114, 6], ('19', '7', '4'): [37, 7]}
frozenset({'5', '1', '0'})	{('5',): [354, 1], ('1',): [66, 2], ('0',): [342, 4], ('5', '1'): [22, 3], ('5', '0'): [137, 5], ('1', '0'): [28, 6], ('5', '1', '0'): [11, 7]}
frozenset({'5', '0', '10'})	{('5',): [354, 1], ('0',): [342, 2], ('10',): [319, 4], ('5', '0'): [137, 3], ('5', '10'): [120, 5], ('0', '10'): [112, 6], ('5', '0', '10'): [46, 7]}
frozenset({'13', '5', '0'})	{('13',): [255, 1], ('5',): [354, 2], ('0',): [342, 4], ('13', '5'): [95, 3], ('13', '0'): [96, 5], ('5', '0'): [137, 6], ('13', '5', '0'): [41, 7]}
frozenset({'5', '0', '15'})	{('5',): [354, 1], ('0',): [342, 2], ('15',): [173, 4], ('5', '0'): [137, 3], ('5', '15'): [63, 5], ('0', '15'): [66, 6], ('5', '0', '15'): [28, 7]}
frozenset({'5', '16', '0'})	{('5',): [354, 1], ('16',): [136, 2], ('0',): [342, 4], ('5', '16'): [50, 3], ('5', '0'): [137, 5], ('16', '0'): [54, 6], ('5', '16', '0'): [21, 7]}
frozenset({'5', '0', '18'})	{('5',): [354, 1], ('0',): [342, 2], ('18',): [285, 4], ('5', '0'): [137, 3], ('5', '18'): [109, 5], ('0', '18'): [105, 6], ('5', '0', '18'): [43, 7]}
frozenset({'5', '0', '2'})	{('5',): [354, 1], ('0',): [342, 2], ('2',): [20, 4], ('5', '0'): [137, 3], ('5', '2'): [8, 5], ('0', '2'): [9, 6], ('5', '0', '2'): [4, 7]}
frozenset({'5', '4', '0'})	{('5',): [354, 1], ('4',): [290, 2], ('0',): [342, 4], ('5', '4'): [115, 3], ('5', '0'): [137, 5], ('4', '0'): [113, 6], ('5', '4', '0'): [50, 7]}
frozenset({'5', '6', '0'})	{('5',): [354, 1], ('6',): [272, 2], ('0',): [342, 4], ('5', '6'): [107, 3], ('5', '0'): [137, 5], ('6', '0'): [92, 6], ('5', '6', '0'): [36, 7]}
frozenset({'5', '7', '0'})	{('5',): [354, 1], ('7',): [350, 2], ('0',): [342, 4], ('5', '7'): [129, 3], ('5', '0'): [137, 5], ('7', '0'): [127, 6], ('5', '7', '0'): [55, 7]}
frozenset({'5', '1', '10'})	{('5',): [354, 1], ('1',): [66, 2], ('10',): [319, 4], ('5', '1'): [22, 3], ('5', '10'): [120, 5], ('1', '10'): [22, 6], ('5', '1', '10'): [7, 7]}
frozenset({'5', '1', '13'})	{('5',): [354, 1], ('1',): [66, 2], ('13',): [255, 4], ('5', '1'): [22, 3], ('5', '13'): [95, 5], ('1', '13'): [15, 6], ('5', '1', '13'): [5, 7]}
frozenset({'5', '1', '15'})	{('5',): [354, 1], ('1',): [66, 2], ('15',): [173, 4], ('5', '1'): [22, 3], ('5', '15'): [63, 5], ('1', '15'): [10, 6], ('5', '1', '15'): [5, 7]}
frozenset({'5', '1', '16'})	{('5',): [354, 1], ('1',): [66, 2], ('16',): [136, 4], ('5', '1'): [22, 3], ('5', '16'): [50, 5], ('1', '16'): [8, 6], ('5', '1', '16'): [3, 7]}
frozenset({'5', '1', '18'})	{('5',): [354, 1], ('1',): [66, 2], ('18',): [285, 4], ('5', '1'): [22, 3], ('5', '18'): [109, 5], ('1', '18'): [23, 6], ('5', '1', '18'): [8, 7]}
frozenset({'5', '1', '2'})	{('5',): [354, 1], ('1',): [66, 2], ('2',): [20, 4], ('5', '1'): [22, 3], ('5', '2'): [8, 5], ('1', '2'): [1, 6], ('5', '1', '2'): [0, 7]}
frozenset({'5', '1', '4'})	{('5',): [354, 1], ('1',): [66, 2], ('4',): [290, 4], ('5', '1'): [22, 3], ('5', '4'): [115, 5], ('1', '4'): [17, 6], ('5', '1', '4'): [5, 7]}
frozenset({'5', '1', '6'})	{('5',): [354, 1], ('1',): [66, 2], ('6',): [272, 4], ('5', '1'): [22, 3], ('5', '6'): [107, 5], ('1', '6'): [9, 6], ('5', '1', '6'): [2, 7]}
frozenset({'5', '1', '7'})	{('5',): [354, 1], ('1',): [66, 2], ('7',): [350, 4], ('5', '1'): [22, 3], ('5', '7'): [129, 5], ('1', '7'): [29, 6], ('5', '1', '7'): [12, 7]}
frozenset({'5', '13', '10'})	{('5',): [354, 1], ('13',): [255, 2], ('10',): [319, 4], ('5', '13'): [95, 3], ('5', '10'): [120, 5], ('13', '10'): [78, 6], ('5', '13', '10'): [26, 7]}
frozenset({'5', '15', '10'})	{('5',): [354, 1], ('15',): [173, 2], ('10',): [319, 4], ('5', '15'): [63, 3], ('5', '10'): [120, 5], ('15', '10'): [62, 6], ('5', '15', '10'): [22, 7]}
frozenset({'5', '16', '10'})	{('5',): [354, 1], ('16',): [136, 2], ('10',): [319, 4], ('5', '16'): [50, 3], ('5', '10'): [120, 5], ('16', '10'): [44, 6], ('5', '16', '10'): [18, 7]}
frozenset({'5', '18', '10'})	{('5',): [354, 1], ('18',): [285, 2], ('10',): [319, 4], ('5', '18'): [109, 3], ('5', '10'): [120, 5], ('18', '10'): [110, 6], ('5', '18', '10'): [43, 7]}
frozenset({'5', '2', '10'})	{('5',): [354, 1], ('2',): [20, 2], ('10',): [319, 4], ('5', '2'): [8, 3], ('5', '10'): [120, 5], ('2', '10'): [5, 6], ('5', '2', '10'): [1, 7]}
frozenset({'5', '4', '10'})	{('5',): [354, 1], ('4',): [290, 2], ('10',): [319, 4], ('5', '4'): [115, 3], ('5', '10'): [120, 5], ('4', '10'): [96, 6], ('5', '4', '10'): [42, 7]}
frozenset({'5', '6', '10'})	{('5',): [354, 1], ('6',): [272, 2], ('10',): [319, 4], ('5', '6'): [107, 3], ('5', '10'): [120, 5], ('6', '10'): [98, 6], ('5', '6', '10'): [38, 7]}
frozenset({'5', '7', '10'})	{('5',): [354, 1], ('7',): [350, 2], ('10',): [319, 4], ('5', '7'): [129, 3], ('5', '10'): [120, 5], ('7', '10'): [120, 6], ('5', '7', '10'): [48, 7]}
frozenset({'12', '5', '6'})	{('12',): [277, 1], ('5',): [354, 2], ('6',): [272, 4], ('12', '5'): [103, 3], ('12', '6'): [73, 5], ('5', '6'): [107, 6], ('12', '5', '6'): [27, 7]}
frozenset({'12', '5', '7'})	{('12',): [277, 1], ('5',): [354, 2], ('7',): [350, 4], ('12', '5'): [103, 3], ('12', '7'): [98, 5], ('5', '7'): [129, 6], ('12', '5', '7'): [35, 7]}
frozenset({'5', '13', '15'})	{('5',): [354, 1], ('13',): [255, 2], ('15',): [173, 4], ('5', '13'): [95, 3], ('5', '15'): [63, 5], ('13', '15'): [50, 6], ('5', '13', '15'): [21, 7]}
frozenset({'5', '16', '13'})	{('5',): [354, 1], ('16',): [136, 2], ('13',): [255, 4], ('5', '16'): [50, 3], ('5', '13'): [95, 5], ('16', '13'): [41, 6], ('5', '16', '13'): [12, 7]}
frozenset({'5', '13', '18'})	{('5',): [354, 1], ('13',): [255, 2], ('18',): [285, 4], ('5', '13'): [95, 3], ('5', '18'): [109, 5], ('13', '18'): [87, 6], ('5', '13', '18'): [33, 7]}
frozenset({'5', '13', '2'})	{('5',): [354, 1], ('13',): [255, 2], ('2',): [20, 4], ('5', '13'): [95, 3], ('5', '2'): [8, 5], ('13', '2'): [7, 6], ('5', '13', '2'): [4, 7]}
frozenset({'5', '4', '13'})	{('5',): [354, 1], ('4',): [290, 2], ('13',): [255, 4], ('5', '4'): [115, 3], ('5', '13'): [95, 5], ('4', '13'): [77, 6], ('5', '4', '13'): [34, 7]}
frozenset({'5', '6', '13'})	{('5',): [354, 1], ('6',): [272, 2], ('13',): [255, 4], ('5', '6'): [107, 3], ('5', '13'): [95, 5], ('6', '13'): [88, 6], ('5', '6', '13'): [35, 7]}
frozenset({'5', '7', '13'})	{('5',): [354, 1], ('7',): [350, 2], ('13',): [255, 4], ('5', '7'): [129, 3], ('5', '13'): [95, 5], ('7', '13'): [99, 6], ('5', '7', '13'): [37, 7]}
frozenset({'5', '16', '15'})	{('5',): [354, 1], ('16',): [136, 2], ('15',): [173, 4], ('5', '16'): [50, 3], ('5', '15'): [63, 5], ('16', '15'): [30, 6], ('5', '16', '15'): [10, 7]}
frozenset({'5', '15', '18'})	{('5',): [354, 1], ('15',): [173, 2], ('18',): [285, 4], ('5', '15'): [63, 3], ('5', '18'): [109, 5], ('15', '18'): [51, 6], ('5', '15', '18'): [19, 7]}
frozenset({'5', '15', '2'})	{('5',): [354, 1], ('15',): [173, 2], ('2',): [20, 4], ('5', '15'): [63, 3], ('5', '2'): [8, 5], ('15', '2'): [3, 6], ('5', '15', '2'): [2, 7]}
frozenset({'5', '4', '15'})	{('5',): [354, 1], ('4',): [290, 2], ('15',): [173, 4], ('5', '4'): [115, 3], ('5', '15'): [63, 5], ('4', '15'): [55, 6], ('5', '4', '15'): [25, 7]}
frozenset({'5', '6', '15'})	{('5',): [354, 1], ('6',): [272, 2], ('15',): [173, 4], ('5', '6'): [107, 3], ('5', '15'): [63, 5], ('6', '15'): [48, 6], ('5', '6', '15'): [19, 7]}
frozenset({'5', '7', '15'})	{('5',): [354, 1], ('7',): [350, 2], ('15',): [173, 4], ('5', '7'): [129, 3], ('5', '15'): [63, 5], ('7', '15'): [73, 6], ('5', '7', '15'): [22, 7]}
frozenset({'5', '16', '18'})	{('5',): [354, 1], ('16',): [136, 2], ('18',): [285, 4], ('5', '16'): [50, 3], ('5', '18'): [109, 5], ('16', '18'): [42, 6], ('5', '16', '18'): [19, 7]}
frozenset({'5', '16', '2'})	{('5',): [354, 1], ('16',): [136, 2], ('2',): [20, 4], ('5', '16'): [50, 3], ('5', '2'): [8, 5], ('16', '2'): [2, 6], ('5', '16', '2'): [1, 7]}
frozenset({'5', '16', '4'})	{('5',): [354, 1], ('16',): [136, 2], ('4',): [290, 4], ('5', '16'): [50, 3], ('5', '4'): [115, 5], ('16', '4'): [45, 6], ('5', '16', '4'): [15, 7]}
frozenset({'5', '16', '6'})	{('5',): [354, 1], ('16',): [136, 2], ('6',): [272, 4], ('5', '16'): [50, 3], ('5', '6'): [107, 5], ('16', '6'): [45, 6], ('5', '16', '6'): [18, 7]}
frozenset({'5', '16', '7'})	{('5',): [354, 1], ('16',): [136, 2], ('7',): [350, 4], ('5', '16'): [50, 3], ('5', '7'): [129, 5], ('16', '7'): [60, 6], ('5', '16', '7'): [21, 7]}
frozenset({'5', '2', '18'})	{('5',): [354, 1], ('2',): [20, 2], ('18',): [285, 4], ('5', '2'): [8, 3], ('5', '18'): [109, 5], ('2', '18'): [8, 6], ('5', '2', '18'): [5, 7]}
frozenset({'5', '4', '18'})	{('5',): [354, 1], ('4',): [290, 2], ('18',): [285, 4], ('5', '4'): [115, 3], ('5', '18'): [109, 5], ('4', '18'): [98, 6], ('5', '4', '18'): [39, 7]}
frozenset({'5', '6', '18'})	{('5',): [354, 1], ('6',): [272, 2], ('18',): [285, 4], ('5', '6'): [107, 3], ('5', '18'): [109, 5], ('6', '18'): [90, 6], ('5', '6', '18'): [35, 7]}
frozenset({'5', '7', '18'})	{('5',): [354, 1], ('7',): [350, 2], ('18',): [285, 4], ('5', '7'): [129, 3], ('5', '18'): [109, 5], ('7', '18'): [114, 6], ('5', '7', '18'): [45, 7]}
frozenset({'19', '5', '6'})	{('19',): [286, 1], ('5',): [354, 2], ('6',): [272, 4], ('19', '5'): [107, 3], ('19', '6'): [84, 5], ('5', '6'): [107, 6], ('19', '5', '6'): [34, 7]}
frozenset({'19', '5', '7'})	{('19',): [286, 1], ('5',): [354, 2], ('7',): [350, 4], ('19', '5'): [107, 3], ('19', '7'): [107, 5], ('5', '7'): [129, 6], ('19', '5', '7'): [39, 7]}
frozenset({'5', '4', '2'})	{('5',): [354, 1], ('4',): [290, 2], ('2',): [20, 4], ('5', '4'): [115, 3], ('5', '2'): [8, 5], ('4', '2'): [5, 6], ('5', '4', '2'): [2, 7]}
frozenset({'5', '6', '2'})	{('5',): [354, 1], ('6',): [272, 2], ('2',): [20, 4], ('5', '6'): [107, 3], ('5', '2'): [8, 5], ('6', '2'): [6, 6], ('5', '6', '2'): [3, 7]}
frozenset({'5', '7', '2'})	{('5',): [354, 1], ('7',): [350, 2], ('2',): [20, 4], ('5', '7'): [129, 3], ('5', '2'): [8, 5], ('7', '2'): [7, 6], ('5', '7', '2'): [3, 7]}
frozenset({'5', '6', '4'})	{('5',): [354, 1], ('6',): [272, 2], ('4',): [290, 4], ('5', '6'): [107, 3], ('5', '4'): [115, 5], ('6', '4'): [83, 6], ('5', '6', '4'): [37, 7]}
frozenset({'5', '7', '4'})	{('5',): [354, 1], ('7',): [350, 2], ('4',): [290, 4], ('5', '7'): [129, 3], ('5', '4'): [115, 5], ('7', '4'): [114, 6], ('5', '7', '4'): [46, 7]}
frozenset({'6', '0', '10'})	{('6',): [272, 1], ('0',): [342, 2], ('10',): [319, 4], ('6', '0'): [92, 3], ('6', '10'): [98, 5], ('0', '10'): [112, 6], ('6', '0', '10'): [34, 7]}
frozenset({'13', '6', '0'})	{('13',): [255, 1], ('6',): [272, 2], ('0',): [342, 4], ('13', '6'): [88, 3], ('13', '0'): [96, 5], ('6', '0'): [92, 6], ('13', '6', '0'): [34, 7]}
frozenset({'6', '0', '15'})	{('6',): [272, 1], ('0',): [342, 2], ('15',): [173, 4], ('6', '0'): [92, 3], ('6', '15'): [48, 5], ('0', '15'): [66, 6], ('6', '0', '15'): [18, 7]}
frozenset({'16', '6', '0'})	{('16',): [136, 1], ('6',): [272, 2], ('0',): [342, 4], ('16', '6'): [45, 3], ('16', '0'): [54, 5], ('6', '0'): [92, 6], ('16', '6', '0'): [16, 7]}
frozenset({'6', '0', '18'})	{('6',): [272, 1], ('0',): [342, 2], ('18',): [285, 4], ('6', '0'): [92, 3], ('6', '18'): [90, 5], ('0', '18'): [105, 6], ('6', '0', '18'): [28, 7]}
frozenset({'6', '0', '2'})	{('6',): [272, 1], ('0',): [342, 2], ('2',): [20, 4], ('6', '0'): [92, 3], ('6', '2'): [6, 5], ('0', '2'): [9, 6], ('6', '0', '2'): [3, 7]}
frozenset({'6', '4', '0'})	{('6',): [272, 1], ('4',): [290, 2], ('0',): [342, 4], ('6', '4'): [83, 3], ('6', '0'): [92, 5], ('4', '0'): [113, 6], ('6', '4', '0'): [33, 7]}
frozenset({'6', '7', '0'})	{('6',): [272, 1], ('7',): [350, 2], ('0',): [342, 4], ('6', '7'): [106, 3], ('6', '0'): [92, 5], ('7', '0'): [127, 6], ('6', '7', '0'): [40, 7]}
frozenset({'1', '6', '7'})	{('1',): [66, 1], ('6',): [272, 2], ('7',): [350, 4], ('1', '6'): [9, 3], ('1', '7'): [29, 5], ('6', '7'): [106, 6], ('1', '6', '7'): [4, 7]}
frozenset({'6', '13', '10'})	{('6',): [272, 1], ('13',): [255, 2], ('10',): [319, 4], ('6', '13'): [88, 3], ('6', '10'): [98, 5], ('13', '10'): [78, 6], ('6', '13', '10'): [34, 7]}
frozenset({'6', '15', '10'})	{('6',): [272, 1], ('15',): [173, 2], ('10',): [319, 4], ('6', '15'): [48, 3], ('6', '10'): [98, 5], ('15', '10'): [62, 6], ('6', '15', '10'): [17, 7]}
frozenset({'6', '16', '10'})	{('6',): [272, 1], ('16',): [136, 2], ('10',): [319, 4], ('6', '16'): [45, 3], ('6', '10'): [98, 5], ('16', '10'): [44, 6], ('6', '16', '10'): [16, 7]}
frozenset({'6', '18', '10'})	{('6',): [272, 1], ('18',): [285, 2], ('10',): [319, 4], ('6', '18'): [90, 3], ('6', '10'): [98, 5], ('18', '10'): [110, 6], ('6', '18', '10'): [34, 7]}
frozenset({'6', '2', '10'})	{('6',): [272, 1], ('2',): [20, 2], ('10',): [319, 4], ('6', '2'): [6, 3], ('6', '10'): [98, 5], ('2', '10'): [5, 6], ('6', '2', '10'): [1, 7]}
frozenset({'6', '4', '10'})	{('6',): [272, 1], ('4',): [290, 2], ('10',): [319, 4], ('6', '4'): [83, 3], ('6', '10'): [98, 5], ('4', '10'): [96, 6], ('6', '4', '10'): [33, 7]}
frozenset({'6', '7', '10'})	{('6',): [272, 1], ('7',): [350, 2], ('10',): [319, 4], ('6', '7'): [106, 3], ('6', '10'): [98, 5], ('7', '10'): [120, 6], ('6', '7', '10'): [40, 7]}
frozenset({'12', '6', '7'})	{('12',): [277, 1], ('6',): [272, 2], ('7',): [350, 4], ('12', '6'): [73, 3], ('12', '7'): [98, 5], ('6', '7'): [106, 6], ('12', '6', '7'): [29, 7]}
frozenset({'6', '13', '15'})	{('6',): [272, 1], ('13',): [255, 2], ('15',): [173, 4], ('6', '13'): [88, 3], ('6', '15'): [48, 5], ('13', '15'): [50, 6], ('6', '13', '15'): [16, 7]}
frozenset({'16', '6', '13'})	{('16',): [136, 1], ('6',): [272, 2], ('13',): [255, 4], ('16', '6'): [45, 3], ('16', '13'): [41, 5], ('6', '13'): [88, 6], ('16', '6', '13'): [14, 7]}
frozenset({'6', '13', '18'})	{('6',): [272, 1], ('13',): [255, 2], ('18',): [285, 4], ('6', '13'): [88, 3], ('6', '18'): [90, 5], ('13', '18'): [87, 6], ('6', '13', '18'): [29, 7]}
frozenset({'6', '13', '2'})	{('6',): [272, 1], ('13',): [255, 2], ('2',): [20, 4], ('6', '13'): [88, 3], ('6', '2'): [6, 5], ('13', '2'): [7, 6], ('6', '13', '2'): [2, 7]}
frozenset({'6', '4', '13'})	{('6',): [272, 1], ('4',): [290, 2], ('13',): [255, 4], ('6', '4'): [83, 3], ('6', '13'): [88, 5], ('4', '13'): [77, 6], ('6', '4', '13'): [26, 7]}
frozenset({'6', '7', '13'})	{('6',): [272, 1], ('7',): [350, 2], ('13',): [255, 4], ('6', '7'): [106, 3], ('6', '13'): [88, 5], ('7', '13'): [99, 6], ('6', '7', '13'): [38, 7]}
frozenset({'16', '6', '15'})	{('16',): [136, 1], ('6',): [272, 2], ('15',): [173, 4], ('16', '6'): [45, 3], ('16', '15'): [30, 5], ('6', '15'): [48, 6], ('16', '6', '15'): [9, 7]}
frozenset({'6', '15', '18'})	{('6',): [272, 1], ('15',): [173, 2], ('18',): [285, 4], ('6', '15'): [48, 3], ('6', '18'): [90, 5], ('15', '18'): [51, 6], ('6', '15', '18'): [16, 7]}
frozenset({'6', '15', '2'})	{('6',): [272, 1], ('15',): [173, 2], ('2',): [20, 4], ('6', '15'): [48, 3], ('6', '2'): [6, 5], ('15', '2'): [3, 6], ('6', '15', '2'): [1, 7]}
frozenset({'6', '4', '15'})	{('6',): [272, 1], ('4',): [290, 2], ('15',): [173, 4], ('6', '4'): [83, 3], ('6', '15'): [48, 5], ('4', '15'): [55, 6], ('6', '4', '15'): [15, 7]}
frozenset({'6', '7', '15'})	{('6',): [272, 1], ('7',): [350, 2], ('15',): [173, 4], ('6', '7'): [106, 3], ('6', '15'): [48, 5], ('7', '15'): [73, 6], ('6', '7', '15'): [19, 7]}
frozenset({'6', '16', '18'})	{('6',): [272, 1], ('16',): [136, 2], ('18',): [285, 4], ('6', '16'): [45, 3], ('6', '18'): [90, 5], ('16', '18'): [42, 6], ('6', '16', '18'): [16, 7]}
frozenset({'6', '16', '2'})	{('6',): [272, 1], ('16',): [136, 2], ('2',): [20, 4], ('6', '16'): [45, 3], ('6', '2'): [6, 5], ('16', '2'): [2, 6], ('6', '16', '2'): [1, 7]}
frozenset({'6', '4', '16'})	{('6',): [272, 1], ('4',): [290, 2], ('16',): [136, 4], ('6', '4'): [83, 3], ('6', '16'): [45, 5], ('4', '16'): [45, 6], ('6', '4', '16'): [17, 7]}
frozenset({'6', '7', '16'})	{('6',): [272, 1], ('7',): [350, 2], ('16',): [136, 4], ('6', '7'): [106, 3], ('6', '16'): [45, 5], ('7', '16'): [60, 6], ('6', '7', '16'): [19, 7]}
frozenset({'6', '2', '18'})	{('6',): [272, 1], ('2',): [20, 2], ('18',): [285, 4], ('6', '2'): [6, 3], ('6', '18'): [90, 5], ('2', '18'): [8, 6], ('6', '2', '18'): [1, 7]}
frozenset({'6', '4', '18'})	{('6',): [272, 1], ('4',): [290, 2], ('18',): [285, 4], ('6', '4'): [83, 3], ('6', '18'): [90, 5], ('4', '18'): [98, 6], ('6', '4', '18'): [26, 7]}
frozenset({'6', '7', '18'})	{('6',): [272, 1], ('7',): [350, 2], ('18',): [285, 4], ('6', '7'): [106, 3], ('6', '18'): [90, 5], ('7', '18'): [114, 6], ('6', '7', '18'): [32, 7]}
frozenset({'19', '6', '7'})	{('19',): [286, 1], ('6',): [272, 2], ('7',): [350, 4], ('19', '6'): [84, 3], ('19', '7'): [107, 5], ('6', '7'): [106, 6], ('19', '6', '7'): [32, 7]}
frozenset({'6', '4', '2'})	{('6',): [272, 1], ('4',): [290, 2], ('2',): [20, 4], ('6', '4'): [83, 3], ('6', '2'): [6, 5], ('4', '2'): [5, 6], ('6', '4', '2'): [1, 7]}
frozenset({'6', '7', '2'})	{('6',): [272, 1], ('7',): [350, 2], ('2',): [20, 4], ('6', '7'): [106, 3], ('6', '2'): [6, 5], ('7', '2'): [7, 6], ('6', '7', '2'): [2, 7]}
frozenset({'7', '6', '4'})	{('7',): [350, 1], ('6',): [272, 2], ('4',): [290, 4], ('7', '6'): [106, 3], ('7', '4'): [114, 5], ('6', '4'): [83, 6], ('7', '6', '4'): [36, 7]}
frozenset({'5', '6', '7'})	{('5',): [354, 1], ('6',): [272, 2], ('7',): [350, 4], ('5', '6'): [107, 3], ('5', '7'): [129, 5], ('6', '7'): [106, 6], ('5', '6', '7'): [39, 7]}
frozenset({'7', '0', '10'})	{('7',): [350, 1], ('0',): [342, 2], ('10',): [319, 4], ('7', '0'): [127, 3], ('7', '10'): [120, 5], ('0', '10'): [112, 6], ('7', '0', '10'): [47, 7]}
frozenset({'13', '7', '0'})	{('13',): [255, 1], ('7',): [350, 2], ('0',): [342, 4], ('13', '7'): [99, 3], ('13', '0'): [96, 5], ('7', '0'): [127, 6], ('13', '7', '0'): [42, 7]}
frozenset({'7', '0', '15'})	{('7',): [350, 1], ('0',): [342, 2], ('15',): [173, 4], ('7', '0'): [127, 3], ('7', '15'): [73, 5], ('0', '15'): [66, 6], ('7', '0', '15'): [29, 7]}
frozenset({'7', '0', '18'})	{('7',): [350, 1], ('0',): [342, 2], ('18',): [285, 4], ('7', '0'): [127, 3], ('7', '18'): [114, 5], ('0', '18'): [105, 6], ('7', '0', '18'): [45, 7]}
frozenset({'7', '0', '2'})	{('7',): [350, 1], ('0',): [342, 2], ('2',): [20, 4], ('7', '0'): [127, 3], ('7', '2'): [7, 5], ('0', '2'): [9, 6], ('7', '0', '2'): [4, 7]}
frozenset({'7', '0', '4'})	{('7',): [350, 1], ('0',): [342, 2], ('4',): [290, 4], ('7', '0'): [127, 3], ('7', '4'): [114, 5], ('0', '4'): [113, 6], ('7', '0', '4'): [42, 7]}
frozenset({'7', '13', '10'})	{('7',): [350, 1], ('13',): [255, 2], ('10',): [319, 4], ('7', '13'): [99, 3], ('7', '10'): [120, 5], ('13', '10'): [78, 6], ('7', '13', '10'): [29, 7]}
frozenset({'7', '15', '10'})	{('7',): [350, 1], ('15',): [173, 2], ('10',): [319, 4], ('7', '15'): [73, 3], ('7', '10'): [120, 5], ('15', '10'): [62, 6], ('7', '15', '10'): [26, 7]}
frozenset({'7', '18', '10'})	{('7',): [350, 1], ('18',): [285, 2], ('10',): [319, 4], ('7', '18'): [114, 3], ('7', '10'): [120, 5], ('18', '10'): [110, 6], ('7', '18', '10'): [44, 7]}
